"person_uri","persName","birthYear"
"http://dbpedia.org/resource/Samuel_Colcord_Bartlett","Samuel Colcord Bartlett",1817
"http://dbpedia.org/resource/Herbert_Spencer","Herbert Spencer",1820
"http://dbpedia.org/resource/Frédéric_Passy","Frédéric Passy",1822
"http://dbpedia.org/resource/Hodgson_Pratt","Hodgson Pratt",1824
"http://dbpedia.org/resource/John_Westlake_(law_scholar)","John Westlake (law scholar)",1828
"http://dbpedia.org/resource/Leo_Tolstoy","Leo Tolstoy",1828
"http://dbpedia.org/resource/Henry_Dunant","Henry Dunant",1828
"http://dbpedia.org/resource/Julian_Pauncefote,_1st_Baron_Pauncefote","Julian Pauncefote, 1st Baron Pauncefote",1828
"http://dbpedia.org/resource/Auguste_Beernaert","Auguste Beernaert",1829
"http://dbpedia.org/resource/Alfred_H._Love","Alfred H. Love",1830
"http://dbpedia.org/resource/Belva_Ann_Lockwood","Belva Ann Lockwood",1830
"http://dbpedia.org/resource/Johann_Martin_Schleyer","Johann Martin Schleyer",1831
"http://dbpedia.org/resource/Ernesto_Teodoro_Moneta","Ernesto Teodoro Moneta",1833
"http://dbpedia.org/resource/Felix_Moscheles","Felix Moscheles",1833
"http://dbpedia.org/resource/Élie_Ducommun","Élie Ducommun",1833
"http://dbpedia.org/resource/Priscilla_Hannah_Peckover","Priscilla Hannah Peckover",1833
"http://dbpedia.org/resource/Léon_Walras","Léon Walras",1834
"http://dbpedia.org/resource/Andrew_Carnegie","Andrew Carnegie",1835
"http://dbpedia.org/resource/Alexander_de_Savornin_Lohman","Alexander de Savornin Lohman",1837
"http://dbpedia.org/resource/Fredrik_Bajer","Fredrik Bajer",1837
"http://dbpedia.org/resource/John_Hay","John Hay",1838
"http://dbpedia.org/resource/Tobias_Asser","Tobias Asser",1838
"http://dbpedia.org/resource/Shibusawa_Eiichi","Shibusawa Eiichi",1840
"http://dbpedia.org/resource/Ferdinand_Buisson","Ferdinand Buisson",1841
"http://dbpedia.org/resource/Bartolo_Longo","Bartolo Longo",1841
"http://dbpedia.org/resource/Luigi_Luzzatti","Luigi Luzzatti",1841
"http://dbpedia.org/resource/Bertha_von_Suttner","Bertha von Suttner",1843
"http://dbpedia.org/resource/Paul_de_Smet_de_Naeyer","Paul de Smet de Naeyer",1843
"http://dbpedia.org/resource/Charles_Albert_Gobat","Charles Albert Gobat",1843
"http://dbpedia.org/resource/Louis_Renault_(jurist)","Louis Renault (jurist)",1843
"http://dbpedia.org/resource/Klas_Pontus_Arnoldson","Klas Pontus Arnoldson",1844
"http://dbpedia.org/resource/Enrico_Bignami","Enrico Bignami",1844
"http://dbpedia.org/resource/Friedrich_Martens","Friedrich Martens",1845
"http://dbpedia.org/resource/Elihu_Root","Elihu Root",1845
"http://dbpedia.org/resource/Charles_Wright_Macara","Charles Wright Macara",1845
"http://dbpedia.org/resource/José_Paranhos,_Baron_of_Rio_Branco","José Paranhos, Baron of Rio Branco",1845
"http://dbpedia.org/resource/Gregers_Gram_(1846–1929)","Gregers Gram (1846–1929)",1846
"http://dbpedia.org/resource/Gregers_Gram_(1846–1929)","Gregers Gram (politician)",1846
"http://dbpedia.org/resource/Albert_Apponyi","Albert Apponyi",1846
"http://dbpedia.org/resource/Annie_Besant","Annie Besant",1847
"http://dbpedia.org/resource/Benjamin_Franklin_Trueblood","Benjamin Franklin Trueblood",1847
"http://dbpedia.org/resource/Philip_Stanhope,_1st_Baron_Weardale","Philip Stanhope, 1st Baron Weardale",1847
"http://dbpedia.org/resource/Auguste_Forel","Auguste Forel",1848
"http://dbpedia.org/resource/William_Osborne_McDowell","William Osborne McDowell",1848
"http://dbpedia.org/resource/Sergei_Witte","Sergei Witte",1849
"http://dbpedia.org/resource/Bernard_Loder","Bernard Loder",1849
"http://dbpedia.org/resource/W._T._Stead","W. T. Stead",1849
"http://dbpedia.org/resource/Charles_Richet","Charles Richet",1850
"http://dbpedia.org/resource/Désiré-Joseph_Mercier","Désiré-Joseph Mercier",1851
"http://dbpedia.org/resource/David_Starr_Jordan","David Starr Jordan",1851
"http://dbpedia.org/resource/Léon_Bourgeois","Léon Bourgeois",1851
"http://dbpedia.org/resource/Ernest_Nys","Ernest Nys",1851
"http://dbpedia.org/resource/Maksim_Kovalevsky","Maksim Kovalevsky",1851
"http://dbpedia.org/resource/Paul_Henri_Balluet_d'Estournelles_de_Constant","Paul Henri Balluet d'Estournelles de Constant",1852
"http://dbpedia.org/resource/Pietro_Gasparri","Pietro Gasparri",1852
"http://dbpedia.org/resource/Heinrich_Lammasch","Heinrich Lammasch",1853
"http://dbpedia.org/resource/Knut_Agathon_Wallenberg","Knut Agathon Wallenberg",1853
"http://dbpedia.org/resource/Gabriel_Hanotaux","Gabriel Hanotaux",1853
"http://dbpedia.org/resource/Pope_Benedict_XV","Pope Benedict XV",1854
"http://dbpedia.org/resource/Estanislao_Zeballos","Estanislao Zeballos",1854
"http://dbpedia.org/resource/Charles_Webster_Leadbeater","Charles Webster Leadbeater",1854
